"GM_CODE","GM_NAAM","POSTCODE","DEK_PERC","OAD","STED","AANT_INW","AANT_MAN","AANT_VROUW","P_00_14_JR","P_15_24_JR","P_25_44_JR","P_45_64_JR","P_65_EO_JR","P_ONGEHUWD","P_GEHUWD","P_GESCHEID","P_VERWEDUW","BEV_DICHTH","AANTAL_HH","P_EENP_HH","P_HH_Z_K","P_HH_M_K","GEM_HH_GR","P_WEST_AL","P_N_W_AL","P_MAROKKO","P_ANT_ARU","P_SURINAM","P_TURKIJE","P_OVER_NW","WONINGEN","P_WONT2000","P_WONV2000","WOZ","P_KOOPWON","P_HUURWON","P_HUURCORP","P_HUUROVVH","P_HUKO_ONB","P_GAS_TOT","P_GAS_APP","P_GAS_TUS","P_GAS_HOEK","P_GAS_21K","P_GAS_VRY","P_GAS_ONB","P_STADVERW","P_ELEK_TOT","P_ELEK_APP","P_ELEK_TUS","P_ELEK_HOE","P_ELEK_21K","P_ELEK_VRY","P_ELEK_ONB","WWB_UITTOT","P_WWB_UIT","WWB_UITMUT","AGRA_BEDR","AGRA_MUT","P_GEWASSEN","P_VEETEELT","P_COMBI","AUTO_TOT","AUTO_HH","AUTO_LAND","BEDR_AUTO","MOTOR_2W","AF_ARTSPR","AV3_ARTSPR","AF_ZIEK_E","AV20ZIEK_E","AF_OPRITH","AF_KDV","AV3_KDV","AF_ONDVMB","AV5_ONDVMB","AF_ONDHV","AV5_ONDHV","AF_SUPERM","AV3_SUPERM","AF_RESTAU","AV3_RESTAU","AF_ZWEMB","AF_BIOS","AV10BIOS","AF_TREINST","OPP_TOT","OPP_LAND","OPP_WATER"
"GM0302","Nunspeet",-99999999,-99999999,746,4,26730,13175,13550,20,13,24,26,16,43,48,4,5,208,10000,26,31,42,2.6,3,2,0,0,0,0,2,9820,89,11,300,60,40,25,14,0,2250,1150,1800,2050,2500,3300,1750,0,3650,2100,3200,3450,4100,4450,3150,160,17,10,165,2,10,88,2,12165,1.2,94,1960,1045,1.6,1.7,14.1,1,1.4,3.3,1.3,2.4,0.9,8.7,0.1,1.1,4.4,1,15,3.7,13.6,0.1,3.8,12949,12875,74
"GM0303","Dronten",-99999999,-99999999,790,4,39785,20185,19605,20,14,26,27,13,45,46,6,4,119,16650,31,31,38,2.4,7,8,1,0,1,1,4,15115,83,17,222,66,34,28,6,0,1900,1050,1700,1900,1950,2600,2350,0,3750,2350,3400,3550,4200,4750,3350,520,35,12,460,-3,73,14,13,18145,1.1,54,2700,1750,1.5,1.5,17.8,1,1.2,3.4,2,4.6,1.3,4.6,1.3,1.4,3.3,1.4,4.6,5,16.2,0,16.6,42386,33386,9000
"GM0304","Neerijnen",-99999999,-99999999,178,5,11880,6020,5860,21,12,26,28,14,43,47,5,5,180,4490,22,33,44,2.6,4,2,1,0,0,0,1,4485,93,7,314,65,33,25,8,3,2500,1450,1700,1950,2350,3150,2450,0,4100,2700,3350,3300,4150,4750,4300,60,14,-99999997,205,-6,57,38,4,5970,1.3,90,1685,600,1.7,0.8,13.8,1.7,2.5,3.2,0.6,7.8,0.1,9.7,0,1.2,1,1.5,1.2,8.6,13.9,0.2,8.2,7296,6599,697
"GM0305","Abcoude",-99999999,-99999999,677,4,8765,4295,4470,22,10,22,30,16,45,45,6,4,288,3550,28,30,42,2.5,11,5,0,0,1,0,3,3625,94,6,437,68,31,19,12,2,2450,1200,1900,2300,3200,3950,1300,0,3950,2200,3700,3700,4500,5250,2800,50,13,-99999997,70,-1,3,96,1,4115,1.2,136,485,325,0.9,2.6,4.6,7.9,1.6,0.7,4.3,4.9,0.8,4.9,0.8,0.8,1.8,0.7,6.7,2.1,7.1,1,1.9,3211,3038,172
"GM0307","Amersfoort",-99999999,-99999999,2187,2,144860,71085,73775,21,11,31,25,12,49,39,7,4,2308,62530,36,27,38,2.3,9,14,3,1,1,4,5,60605,85,15,259,56,44,34,10,0,1700,1250,1600,2000,2700,3600,1450,0,3200,2350,3400,3550,4400,5300,2850,2220,41,17,80,0,15,83,2,71910,1.2,1146,10460,5365,0.7,10.2,3.7,7.7,1.5,0.8,13.2,1.2,10.7,1.8,6.6,0.7,11.6,0.6,59.7,1.9,3.6,1,2.4,6378,6277,101
"GM0308","Baarn",-99999999,-99999999,1422,3,24315,11660,12660,17,10,24,30,19,44,42,8,7,747,10695,37,30,33,2.2,9,7,1,1,0,2,3,10670,96,4,349,62,38,27,11,1,2350,1500,1950,2400,3050,4400,1600,0,3400,2300,3200,3550,4200,5000,-99999997,250,25,17,20,0,18,77,5,11250,1.1,346,1190,910,0.9,6.1,1.7,10,1.3,0.7,4.5,1.4,2.1,1.8,2,0.7,6.1,0.6,19.6,1.7,8.7,2.7,1.5,3303,3256,47
"GM0310","De Bilt",-99999999,-99999999,1117,3,42015,19935,22080,18,10,21,30,21,43,43,7,7,634,18850,37,30,33,2.2,10,6,2,0,1,0,3,18280,99,1,396,60,38,26,12,2,2400,1450,2000,2500,3250,4450,1750,0,3650,2500,3350,3750,4450,5200,-99999997,330,20,6,125,-2,13,85,2,19765,1,298,2185,1330,0.9,4.8,5.2,12.6,1.6,1.3,5.7,1.9,2.7,2.6,3.1,0.9,4.8,0.7,14.8,2.5,6.7,7.3,2.4,6710,6632,78
"GM0311","Breukelen",-99999999,-99999999,670,4,14615,7225,7390,20,11,24,28,17,45,43,6,5,329,6200,33,29,38,2.3,8,4,1,0,1,0,2,5905,95,5,337,59,39,27,13,1,2200,1250,1850,2300,2800,3650,-99999997,0,3700,2550,3500,3850,4300,5050,-99999997,80,14,39,120,2,9,91,0,6775,1.1,152,1015,585,1.4,1.6,11.8,7.2,1.2,2.4,1.4,2.4,0.8,2.7,0.7,1.1,2.3,1.3,9,1.5,13,0,2.9,4865,4444,420
"GM0312","Bunnik",-99999999,-99999999,605,4,14460,7130,7330,19,11,21,30,19,43,47,5,5,391,6030,29,33,38,2.4,8,4,1,1,1,0,2,5880,92,8,338,73,26,16,10,1,2250,1200,2050,2350,2650,3650,2300,0,3700,2200,3700,3900,4000,4900,-99999997,60,11,5,105,-2,22,67,11,7240,1.2,196,1085,525,0.8,2.1,5.4,9.5,0.8,1.2,3.5,4.4,1.8,4.4,1.6,0.7,1.8,1.1,6.3,2.8,4.8,5.8,2.5,3757,3695,62
"GM0313","Bunschoten",-99999999,-99999999,1039,3,20000,10030,9970,21,14,28,25,12,42,50,3,4,656,7235,22,30,48,2.7,4,4,0,0,0,2,2,7325,87,13,275,76,23,15,9,1,2150,1100,1850,2300,2800,3600,2500,0,4000,2450,3850,4150,4600,5350,-99999997,100,15,14,80,1,6,94,0,8265,1.1,271,1580,515,0.8,4.7,9.2,6,1.9,0.9,2.9,1.4,1,1.4,1,0.8,4.7,1,13.3,1.8,11.3,0,9,3488,3050,438
